pub_date,headline,snippet,section,source,news_desk,type_of_material,web_url
2021-10-11T16:00:35Z,Taylor Swift Returns to No. 1 With Autographed ‘Fearless’ CDs,"The singer-songwriter’s “Fearless (Taylor’s Version),” the rerecorded edition of her breakthrough 2008 LP, surged to the top of Billboard’s album chart.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/10/11/arts/music/taylor-swift-fearless-billboard.html
2021-12-10T20:59:22Z,"Taylor Swift Copyright Lawsuit May Go to Trial, Judge Rules",Taylor Swift is accused of stealing lyrics in her hit song “Shake It Off” from the song “Playas Gon’ Play” by the R&B trio 3LW.,Arts,The New York Times,Express,News,https://www.nytimes.com/2021/12/10/arts/music/taylor-swift-lawsuit-shake-it-off.html
2021-11-22T19:29:03Z,Taylor Swift Earns Her Fourth No. 1 in 16 Months With New ‘Red’,"“Red (Taylor’s Version)” had the equivalent of 605,000 sales in the United States. On next week’s album chart, Adele’s “30” may reach one million sales.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/11/22/arts/music/taylor-swift-red-taylors-version-billboard-chart.html
2021-11-15T18:30:04Z,Taylor Swift’s ‘All Too Well’ and the Weaponization of Memory,"The new 10-minute version of a bitter breakup song from 2012 luxuriates in its details and its supersize length, correcting a power imbalance in the relationship it describes.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/11/15/arts/music/taylor-swift-all-too-well.html
2021-12-06T17:51:59Z,Grammys Remove Taylor Swift and Others From Olivia Rodrigo Nomination,"Swift, Jack Antonoff and St. Vincent are credited on “Sour,” but the awards don’t count interpolations — rerecorded quotations from other songs — toward album of the year consideration.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/12/06/arts/music/olivia-rodrigo-taylor-swift-grammy-nomination.html
2021-06-07T16:32:30Z,Taylor Swift’s ‘Evermore’ Vaults to No. 1 With a Vinyl Bump,"Taking advantage of a Billboard chart tweak in how the sales of physical albums are counted, the singer-songwriter’s six-month-old album returned to the top.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/06/07/arts/music/taylor-swift-evermore-vinyl-chart.html
2021-11-14T07:57:36Z,‘S.N.L.’ Gives Ted Cruz His Own Version of ‘Sesame Street’,"The sketch show, hosted this weekend by Jonathan Majors, also featured a 10-minute performance from the musical guest Taylor Swift.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/11/14/arts/television/snl-taylor-swift-ted-cruz.html
2021-11-25T03:17:42Z,"At Last Minute, Kanye West, Taylor Swift Added as Top Grammy Nominees","Abba, Lil Nas X and others benefited as the number of competitors in the four all-genre categories grew from eight to 10 in a meeting the day before the nominations were announced.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/11/24/arts/music/grammy-nominations-taylor-swift-kanye-west.html
2021-11-12T16:05:59Z,"Taylor Swift and Phoebe Bridgers’s ‘Red’ Duet, and 14 More New Songs","Hear tracks by Beyoncé, Let’s Eat Grandma, Beach House and others.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/11/12/arts/music/taylor-swift-red.html
2021-03-15T01:34:12Z,Taylor Swift performs a medley from her pandemic albums.,"A cottage in a magical forest was the setting for abbreviated versions of “Cardigan,” “August” and “Willow.”",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/03/14/arts/music/taylor-swift-grammys.html
2021-04-09T17:45:04Z,Taylor Swift Remade ‘Fearless’ as ‘Taylor’s Version.’ Let’s Discuss.,"Keeping a promise from when her master recordings were sold, Swift has faithfully rerecorded her 2008 album. Our critics and reporters explore its sound, and purpose.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/04/09/arts/music/taylor-swift-fearless-taylors-version.html
2021-03-15T03:37:04Z,"Taylor Swift takes album of the year, becoming the first woman to win three times.",The singer-songwriter’s pandemic album “Folklore” joins “Fearless” and “1989” as winners of the Grammys’ biggest prize for an LP.,Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/03/14/arts/music/taylor-swift-album-of-the-year-grammys.html
2021-07-02T14:00:16Z,"Taylor Swift Rejoins Her ‘Folklore’ Crew, and 8 More New Songs","Hear tracks by Brent Faiyaz featuring Drake, J. Balvin and Skrillex, Chicano Batman and others.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/07/02/arts/music/playlist-taylor-swift-drake-j-balvin.html
2021-08-19T09:00:12Z,How Aaron Dessner Found His Voice (With an Assist From Taylor Swift),"The “shy” producer and musician from the long-running indie-rock band the National emerges via his own project with Justin Vernon, Big Red Machine.",Arts,The New York Times,Arts&Leisure,News,https://www.nytimes.com/2021/08/19/arts/music/aaron-dessner-big-red-machine.html
2021-03-12T10:00:07Z,Taylor Swift Is Singing Us Back to Nature,"Her work is overflowing with the language and landscapes of the natural world. As a father and a conservation scientist, I value that.",Opinion,The New York Times,OpEd,Op-Ed,https://www.nytimes.com/2021/03/12/opinion/taylor-swift-grammys-nature-lyrics.html
2020-12-15T15:55:35Z,Taylor Swift’s ‘Evermore’: Let’s Discuss,A second album written and recorded during pandemic lockdown carries the singer and songwriter further from conventional pop.,Arts,The New York Times,Culture,News,https://www.nytimes.com/2020/12/15/arts/music/popcast-taylor-swift-evermore.html
2021-12-20T10:00:12Z,A $550 Million Springsteen Deal? It’s Glory Days for Catalog Sales.,"Bob Dylan, Paul Simon, Tina Turner and others have all sold rights to their music for eye-popping prices. Here’s why.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/12/20/arts/music/bruce-springsteen-catalog.html
2021-03-15T04:30:40Z,"Beyoncé, Megan Thee Stallion and Taylor Swift made history at this year’s Grammys.",,Arts,The New York Times,Culture,Live Blog Post,https://www.nytimes.com/live/2021/03/14/arts/live-grammy-awards/beyonce-megan-thee-stallion-and-taylor-swift
